long;long;
49110;3879;xxxx
45987;3867;xxxx
45883;3866;xxxx
45882;3865;xxxx
45881;3864;xxxx
45880;3863;xxxx
45879;3862;xxxx
45862;3861;xxxx
44089;3805;xxxx
44088;3804;xxxx
44087;3803;xxxx
44084;3802;xxxx
44082;3800;xxxx
44081;3801;xxxx
44078;3799;xxxx
44076;3798;xxxx
44066;3792;xxxx
42702;3750;xxxx
42701;3749;xxxx
42158;3744;xxxx
42157;3743;xxxx
42156;3742;xxxx
42155;3747;xxxx
42154;3746;xxxx
42153;3745;xxxx
42152;3741;xxxx
42151;3740;xxxx
42150;3739;xxxx
42149;3738;xxxx
42148;3737;xxxx
42146;3736;xxxx
42145;3735;xxxx
42144;3734;xxxx
42143;3733;xxxx
42142;3732;xxxx
41502;3691;xxxx
41501;3678;xxxx
41500;3694;xxxx
41499;3684;xxxx
41498;3697;xxxx
41497;3693;xxxx
41496;3679;xxxx
41495;3690;xxxx
41494;3689;xxxx
41493;3688;xxxx
41492;3681;xxxx
41491;3687;xxxx
41490;3695;xxxx
41489;3685;xxxx
41488;3682;xxxx
41487;3680;xxxx
41486;3692;xxxx
41485;3677;xxxx
41484;3686;xxxx
41483;3683;xxxx
41482;3696;xxxx
41481;3704;xxxx
41480;3707;xxxx
41479;3706;xxxx
41478;3715;xxxx
41477;3710;xxxx
41476;3708;xxxx
41475;3703;xxxx
41474;3716;xxxx
41473;3705;xxxx
41472;3709;xxxx
41471;3713;xxxx
41470;3698;xxxx
41469;3712;xxxx
41468;3699;xxxx
41467;3701;xxxx
41466;3702;xxxx
41465;3714;xxxx
41464;3700;xxxx
41463;3711;xxxx
41462;3666;xxxx
41461;3671;xxxx
41460;3667;xxxx
41459;3672;xxxx
41458;3668;xxxx
41457;3673;xxxx
41456;3665;xxxx
41455;3674;xxxx
41454;3663;xxxx
41453;3669;xxxx
41452;3675;xxxx
41451;3670;xxxx
41450;3664;xxxx
41449;3658;xxxx
41448;3657;xxxx
41447;3660;xxxx
41446;3659;xxxx
41445;3662;xxxx
41444;3661;xxxx
41443;3656;xxxx
41442;3653;xxxx
41441;3655;xxxx
41440;3654;xxxx
41439;3646;xxxx
41438;3650;xxxx
41437;3647;xxxx
41436;3652;xxxx
41435;3648;xxxx
41434;3644;xxxx
41433;3651;xxxx
41432;3649;xxxx
41429;3767;xxxx
41401;3627;xxxx
41400;3643;xxxx
41398;3628;xxxx
41397;3642;xxxx
41396;3631;xxxx
41395;3626;xxxx
41389;3641;xxxx
41385;3640;xxxx
41382;3639;xxxx
41381;3638;xxxx
41380;3637;xxxx
41379;3636;xxxx
41378;3635;xxxx
41377;3634;xxxx
41376;3633;xxxx
41375;3632;xxxx
41339;3625;xxxx
41335;3624;xxxx
41333;3623;xxxx
41307;3622;xxxx
41285;3621;xxxx
40232;3591;xxxx
40182;3590;xxxx
40181;3589;xxxx
40180;3588;xxxx
40179;3587;xxxx
40178;3586;xxxx
40177;3585;xxxx
40176;3584;xxxx
40175;3583;xxxx
40174;3582;xxxx
40173;3581;xxxx
40172;3580;xxxx
40171;3579;xxxx
40170;3578;xxxx
40169;3577;xxxx
40168;3576;xxxx
40167;3575;xxxx
40166;3574;xxxx
40165;3573;xxxx
40164;3572;xxxx
40163;3571;xxxx
40162;3570;xxxx
40161;3569;xxxx
40160;3568;xxxx
40159;3567;xxxx
40158;3566;xxxx
40157;3565;xxxx
40156;3564;xxxx
40155;3563;xxxx
40154;3561;xxxx
40153;3560;xxxx
40152;3559;xxxx
40151;3558;xxxx
40150;3557;xxxx
40149;3556;xxxx
40148;3555;xxxx
40147;3554;xxxx
40146;3553;xxxx
40145;3552;xxxx
40144;3551;xxxx
40143;3550;xxxx
40142;3549;xxxx
40141;3542;xxxx
40140;3543;xxxx
40139;3541;xxxx
40138;3540;xxxx
40137;3547;xxxx
40136;3539;xxxx
40135;3548;xxxx
40134;3546;xxxx
40133;3545;xxxx
40132;3538;xxxx
40131;3544;xxxx
40130;3537;xxxx
40129;3536;xxxx
40128;3531;xxxx
40127;3530;xxxx
40126;3529;xxxx
40125;3528;xxxx
40124;3527;xxxx
40123;3526;xxxx
40122;3535;xxxx
40121;3534;xxxx
40120;3533;xxxx
40119;3532;xxxx
40118;3524;xxxx
40117;3525;xxxx
40116;3523;xxxx
40115;3522;xxxx
40114;3521;xxxx
40113;3520;xxxx
40112;3519;xxxx
40111;3518;xxxx
40106;3517;xxxx
40105;3514;xxxx
40104;3509;xxxx
40103;3513;xxxx
40102;3508;xxxx
40101;3516;xxxx
40100;3512;xxxx
40099;3507;xxxx
40098;3515;xxxx
40096;3511;xxxx
40095;3506;xxxx
40094;3510;xxxx
40092;3505;xxxx
40091;3504;xxxx
40090;3503;xxxx
40089;3502;xxxx
40088;3501;xxxx
40086;3500;xxxx
40085;3499;xxxx
40059;3498;xxxx
40058;3497;xxxx
40057;3496;xxxx
40056;3495;xxxx
40055;3494;xxxx
40054;3493;xxxx
40053;3492;xxxx
40052;3491;xxxx
40051;3490;xxxx
40050;3489;xxxx
40049;3488;xxxx
40048;3487;xxxx
40047;3486;xxxx
40046;3485;xxxx
40045;3484;xxxx
40044;3483;xxxx
40043;3482;xxxx
40041;3481;xxxx
40040;3480;xxxx
40039;3479;xxxx
40038;3478;xxxx
40037;3477;xxxx
40034;3471;xxxx
40033;3470;xxxx
40032;3469;xxxx
40031;3468;xxxx
40030;3475;xxxx
40029;3467;xxxx
40028;3476;xxxx
40027;3473;xxxx
40026;3472;xxxx
40025;3466;xxxx
40024;3474;xxxx
40023;3465;xxxx
40022;3464;xxxx
40017;3463;xxxx
40016;3462;xxxx
40015;3461;xxxx
40014;3460;xxxx
40013;3459;xxxx
40012;3458;xxxx
40011;3457;xxxx
40010;3456;xxxx
40009;3455;xxxx
40008;3454;xxxx
40003;3453;xxxx
40002;3452;xxxx
40001;3451;xxxx
40000;3450;xxxx
39999;3449;xxxx
39998;3448;xxxx
39997;3447;xxxx
39996;3446;xxxx
39992;3445;xxxx
