
CharImport [Universal] - 0.10.3.428 (Test)
System: Microsoft Windows 7 Enterprise  // 6.1.7601.65536 // Win32NT
[14.09.2012 19:27:59] Application started
[14.09.2012 19:28:05] Classic checked
[14.09.2012 19:28:05] Trinity checked
[14.09.2012 19:28:05] Database_Interface_Load call
[14.09.2012 19:28:06] Database_Interface_closing request
[14.09.2012 19:28:06] Starter_Application_exit call
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] Classic checked
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] wotlk checked
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] Classic checked
[14.09.2012 19:28:07] Trinity checked
[14.09.2012 19:28:07] wotlk checked
[14.09.2012 19:28:07] Trinity checked
