long;long;
3879;49110;xxxx
3867;45987;xxxx
3866;45883;xxxx
3865;45882;xxxx
3864;45881;xxxx
3863;45880;xxxx
3862;45879;xxxx
3861;45862;xxxx
3805;44089;xxxx
3804;44088;xxxx
3803;44087;xxxx
3802;44084;xxxx
3800;44082;xxxx
3801;44081;xxxx
3799;44078;xxxx
3798;44076;xxxx
3792;44066;xxxx
3750;42702;xxxx
3749;42701;xxxx
3744;42158;xxxx
3743;42157;xxxx
3742;42156;xxxx
3747;42155;xxxx
3746;42154;xxxx
3745;42153;xxxx
3741;42152;xxxx
3740;42151;xxxx
3739;42150;xxxx
3738;42149;xxxx
3737;42148;xxxx
3736;42146;xxxx
3735;42145;xxxx
3734;42144;xxxx
3733;42143;xxxx
3732;42142;xxxx
3691;41502;xxxx
3678;41501;xxxx
3694;41500;xxxx
3684;41499;xxxx
3697;41498;xxxx
3693;41497;xxxx
3679;41496;xxxx
3690;41495;xxxx
3689;41494;xxxx
3688;41493;xxxx
3681;41492;xxxx
3687;41491;xxxx
3695;41490;xxxx
3685;41489;xxxx
3682;41488;xxxx
3680;41487;xxxx
3692;41486;xxxx
3677;41485;xxxx
3686;41484;xxxx
3683;41483;xxxx
3696;41482;xxxx
3704;41481;xxxx
3707;41480;xxxx
3706;41479;xxxx
3715;41478;xxxx
3710;41477;xxxx
3708;41476;xxxx
3703;41475;xxxx
3716;41474;xxxx
3705;41473;xxxx
3709;41472;xxxx
3713;41471;xxxx
3698;41470;xxxx
3712;41469;xxxx
3699;41468;xxxx
3701;41467;xxxx
3702;41466;xxxx
3714;41465;xxxx
3700;41464;xxxx
3711;41463;xxxx
3666;41462;xxxx
3671;41461;xxxx
3667;41460;xxxx
3672;41459;xxxx
3668;41458;xxxx
3673;41457;xxxx
3665;41456;xxxx
3674;41455;xxxx
3663;41454;xxxx
3669;41453;xxxx
3675;41452;xxxx
3670;41451;xxxx
3664;41450;xxxx
3658;41449;xxxx
3657;41448;xxxx
3660;41447;xxxx
3659;41446;xxxx
3662;41445;xxxx
3661;41444;xxxx
3656;41443;xxxx
3653;41442;xxxx
3655;41441;xxxx
3654;41440;xxxx
3646;41439;xxxx
3650;41438;xxxx
3647;41437;xxxx
3652;41436;xxxx
3648;41435;xxxx
3644;41434;xxxx
3651;41433;xxxx
3649;41432;xxxx
3767;41429;xxxx
3627;41401;xxxx
3643;41400;xxxx
3628;41398;xxxx
3642;41397;xxxx
3631;41396;xxxx
3626;41395;xxxx
3641;41389;xxxx
3640;41385;xxxx
3639;41382;xxxx
3638;41381;xxxx
3637;41380;xxxx
3636;41379;xxxx
3635;41378;xxxx
3634;41377;xxxx
3633;41376;xxxx
3632;41375;xxxx
3625;41339;xxxx
3624;41335;xxxx
3623;41333;xxxx
3622;41307;xxxx
3621;41285;xxxx
3591;40232;xxxx
3590;40182;xxxx
3589;40181;xxxx
3588;40180;xxxx
3587;40179;xxxx
3586;40178;xxxx
3585;40177;xxxx
3584;40176;xxxx
3583;40175;xxxx
3582;40174;xxxx
3581;40173;xxxx
3580;40172;xxxx
3579;40171;xxxx
3578;40170;xxxx
3577;40169;xxxx
3576;40168;xxxx
3575;40167;xxxx
3574;40166;xxxx
3573;40165;xxxx
3572;40164;xxxx
3571;40163;xxxx
3570;40162;xxxx
3569;40161;xxxx
3568;40160;xxxx
3567;40159;xxxx
3566;40158;xxxx
3565;40157;xxxx
3564;40156;xxxx
3563;40155;xxxx
3561;40154;xxxx
3560;40153;xxxx
3559;40152;xxxx
3558;40151;xxxx
3557;40150;xxxx
3556;40149;xxxx
3555;40148;xxxx
3554;40147;xxxx
3553;40146;xxxx
3552;40145;xxxx
3551;40144;xxxx
3550;40143;xxxx
3549;40142;xxxx
3542;40141;xxxx
3543;40140;xxxx
3541;40139;xxxx
3540;40138;xxxx
3547;40137;xxxx
3539;40136;xxxx
3548;40135;xxxx
3546;40134;xxxx
3545;40133;xxxx
3538;40132;xxxx
3544;40131;xxxx
3537;40130;xxxx
3536;40129;xxxx
3531;40128;xxxx
3530;40127;xxxx
3529;40126;xxxx
3528;40125;xxxx
3527;40124;xxxx
3526;40123;xxxx
3535;40122;xxxx
3534;40121;xxxx
3533;40120;xxxx
3532;40119;xxxx
3524;40118;xxxx
3525;40117;xxxx
3523;40116;xxxx
3522;40115;xxxx
3521;40114;xxxx
3520;40113;xxxx
3519;40112;xxxx
3518;40111;xxxx
3517;40106;xxxx
3514;40105;xxxx
3509;40104;xxxx
3513;40103;xxxx
3508;40102;xxxx
3516;40101;xxxx
3512;40100;xxxx
3507;40099;xxxx
3515;40098;xxxx
3511;40096;xxxx
3506;40095;xxxx
3510;40094;xxxx
3505;40092;xxxx
3504;40091;xxxx
3503;40090;xxxx
3502;40089;xxxx
3501;40088;xxxx
3500;40086;xxxx
3499;40085;xxxx
3498;40059;xxxx
3497;40058;xxxx
3496;40057;xxxx
3495;40056;xxxx
3494;40055;xxxx
3493;40054;xxxx
3492;40053;xxxx
3491;40052;xxxx
3490;40051;xxxx
3489;40050;xxxx
3488;40049;xxxx
3487;40048;xxxx
3486;40047;xxxx
3485;40046;xxxx
3484;40045;xxxx
3483;40044;xxxx
3482;40043;xxxx
3481;40041;xxxx
3480;40040;xxxx
3479;40039;xxxx
3478;40038;xxxx
3477;40037;xxxx
3471;40034;xxxx
3470;40033;xxxx
3469;40032;xxxx
3468;40031;xxxx
3475;40030;xxxx
3467;40029;xxxx
3476;40028;xxxx
3473;40027;xxxx
3472;40026;xxxx
3466;40025;xxxx
3474;40024;xxxx
3465;40023;xxxx
3464;40022;xxxx
3463;40017;xxxx
3462;40016;xxxx
3461;40015;xxxx
3460;40014;xxxx
3459;40013;xxxx
3458;40012;xxxx
3457;40011;xxxx
3456;40010;xxxx
3455;40009;xxxx
3454;40008;xxxx
3453;40003;xxxx
3452;40002;xxxx
3451;40001;xxxx
3450;40000;xxxx
3449;39999;xxxx
3448;39998;xxxx
3447;39997;xxxx
3446;39996;xxxx
3445;39992;xxxx
3444;39991;xxxx
3443;39990;xxxx
3442;39989;xxxx
3441;39988;xxxx
3440;39986;xxxx
3439;39985;xxxx
3438;39984;xxxx
3437;39983;xxxx
3436;39982;xxxx
3435;39981;xxxx
3434;39980;xxxx
3433;39979;xxxx
3432;39978;xxxx
3431;39977;xxxx
3430;39976;xxxx
3429;39975;xxxx
3428;39974;xxxx
3427;39968;xxxx
3421;39967;xxxx
3420;39966;xxxx
3419;39965;xxxx
3418;39964;xxxx
3426;39963;xxxx
3424;39962;xxxx
3423;39961;xxxx
3422;39960;xxxx
3417;39959;xxxx
3416;39958;xxxx
3415;39957;xxxx
3414;39956;xxxx
3413;39955;xxxx
3412;39954;xxxx
3406;39953;xxxx
3410;39952;xxxx
3409;39951;xxxx
3408;39950;xxxx
3407;39949;xxxx
3411;39948;xxxx
3405;39947;xxxx
3404;39946;xxxx
3403;39945;xxxx
3402;39944;xxxx
3401;39943;xxxx
3400;39942;xxxx
3399;39941;xxxx
3398;39940;xxxx
3397;39939;xxxx
3396;39938;xxxx
3395;39937;xxxx
3394;39936;xxxx
3393;39935;xxxx
3392;39934;xxxx
3391;39933;xxxx
3390;39932;xxxx
3389;39927;xxxx
3388;39920;xxxx
3387;39919;xxxx
3386;39918;xxxx
3385;39917;xxxx
3384;39916;xxxx
3383;39915;xxxx
3382;39914;xxxx
3381;39912;xxxx
3380;39911;xxxx
3379;39910;xxxx
3378;39909;xxxx
3377;39908;xxxx
3376;39907;xxxx
3375;39906;xxxx
3374;39905;xxxx
3371;39900;xxxx
3340;38550;xxxx
3339;38549;xxxx
3338;38548;xxxx
3337;38547;xxxx
3336;38546;xxxx
3335;38545;xxxx
3334;38538;xxxx
3333;38498;xxxx
3321;38292;xxxx
3318;37503;xxxx
3317;37430;xxxx
3293;36767;xxxx
3292;36766;xxxx
3287;35761;xxxx
3286;35760;xxxx
3285;35759;xxxx
3284;35758;xxxx
3280;35707;xxxx
3275;35503;xxxx
3274;35501;xxxx
3278;35489;xxxx
3283;35489;xxxx
3277;35488;xxxx
3282;35488;xxxx
3276;35487;xxxx
3281;35487;xxxx
3272;35318;xxxx
3271;35316;xxxx
3270;35315;xxxx
3324;34835;xxxx
3268;34831;xxxx
3264;34627;xxxx
3262;34256;xxxx
3261;34220;xxxx
3254;34143;xxxx
3242;34142;xxxx
3226;33782;xxxx
3221;33144;xxxx
3220;33143;xxxx
3219;33142;xxxx
3218;33141;xxxx
3217;33140;xxxx
3216;33139;xxxx
3215;33138;xxxx
3214;33137;xxxx
3213;33136;xxxx
3212;33135;xxxx
3211;33134;xxxx
3210;33133;xxxx
3209;33132;xxxx
3208;33131;xxxx
3207;33130;xxxx
3206;33060;xxxx
3202;32836;xxxx
3201;32833;xxxx
3197;32735;xxxx
3163;32641;xxxx
3162;32640;xxxx
3161;32639;xxxx
3160;32638;xxxx
3159;32637;xxxx
3158;32636;xxxx
3157;32635;xxxx
3156;32634;xxxx
3155;32410;xxxx
3154;32409;xxxx
3148;32226;xxxx
3147;32225;xxxx
3146;32224;xxxx
3145;32223;xxxx
3144;32222;xxxx
3143;32221;xxxx
3142;32220;xxxx
3141;32219;xxxx
3140;32218;xxxx
3139;32217;xxxx
3138;32216;xxxx
3137;32215;xxxx
3136;32214;xxxx
3135;32213;xxxx
3134;32212;xxxx
3133;32211;xxxx
3132;32210;xxxx
3131;32209;xxxx
3130;32208;xxxx
3129;32207;xxxx
3128;32206;xxxx
3127;32205;xxxx
3126;32204;xxxx
3125;32203;xxxx
3124;32202;xxxx
3123;32201;xxxx
3122;32200;xxxx
3121;32199;xxxx
3120;32198;xxxx
3119;32197;xxxx
3118;32196;xxxx
3117;32195;xxxx
3116;32194;xxxx
3115;32193;xxxx
3113;31869;xxxx
3112;31868;xxxx
3111;31867;xxxx
3110;31866;xxxx
3109;31865;xxxx
3108;31864;xxxx
3107;31863;xxxx
3106;31862;xxxx
3105;31861;xxxx
3104;31860;xxxx
3101;31118;xxxx
3100;31117;xxxx
3099;31116;xxxx
3091;30608;xxxx
3090;30607;xxxx
3089;30606;xxxx
3088;30605;xxxx
3087;30604;xxxx
3086;30603;xxxx
3085;30602;xxxx
3084;30601;xxxx
3083;30600;xxxx
3103;30598;xxxx
3082;30594;xxxx
3081;30593;xxxx
3080;30592;xxxx
3079;30591;xxxx
3078;30590;xxxx
3077;30589;xxxx
3076;30588;xxxx
3075;30587;xxxx
3074;30586;xxxx
3073;30585;xxxx
3072;30584;xxxx
3071;30583;xxxx
3070;30582;xxxx
3069;30581;xxxx
3068;30575;xxxx
3067;30574;xxxx
3066;30573;xxxx
3064;30572;xxxx
3065;30571;xxxx
3063;30566;xxxx
3062;30565;xxxx
3061;30564;xxxx
3060;30563;xxxx
3059;30562;xxxx
3058;30560;xxxx
3057;30559;xxxx
3056;30558;xxxx
3055;30556;xxxx
3054;30555;xxxx
3053;30554;xxxx
3052;30553;xxxx
3051;30552;xxxx
3050;30551;xxxx
3049;30550;xxxx
3048;30549;xxxx
3047;30548;xxxx
3046;30547;xxxx
3045;30546;xxxx
2971;28595;xxxx
2970;28557;xxxx
2969;28556;xxxx
2968;28470;xxxx
2967;28469;xxxx
2966;28468;xxxx
2965;28467;xxxx
2964;28466;xxxx
2963;28465;xxxx
2962;28464;xxxx
2961;28463;xxxx
2960;28462;xxxx
2959;28461;xxxx
2958;28460;xxxx
2957;28459;xxxx
2956;28458;xxxx
2950;28389;xxxx
2949;28388;xxxx
2946;28363;xxxx
2945;28362;xxxx
2944;28361;xxxx
2943;28360;xxxx
2942;28290;xxxx
2916;28123;xxxx
2915;28122;xxxx
2914;28120;xxxx
2913;28119;xxxx
2912;28118;xxxx
2911;28117;xxxx
2917;27864;xxxx
2923;27820;xxxx
2924;27812;xxxx
2922;27811;xxxx
2921;27809;xxxx
2899;27786;xxxx
2918;27786;xxxx
2898;27785;xxxx
2897;27782;xxxx
2896;27777;xxxx
2894;27774;xxxx
2891;27679;xxxx
2835;25901;xxxx
2834;25899;xxxx
2833;25898;xxxx
2832;25897;xxxx
2831;25896;xxxx
2830;25895;xxxx
2829;25894;xxxx
2828;25893;xxxx
2827;25890;xxxx
2758;24067;xxxx
2763;24066;xxxx
2744;24065;xxxx
2743;24062;xxxx
2756;24061;xxxx
2742;24060;xxxx
2761;24059;xxxx
2753;24058;xxxx
2741;24057;xxxx
2740;24056;xxxx
2739;24055;xxxx
2738;24054;xxxx
2759;24053;xxxx
2737;24052;xxxx
2764;24051;xxxx
2736;24050;xxxx
2735;24048;xxxx
2734;24047;xxxx
2765;24039;xxxx
2733;24037;xxxx
2754;24036;xxxx
2732;24035;xxxx
2731;24033;xxxx
2730;24032;xxxx
2729;24031;xxxx
2728;24030;xxxx
2727;24029;xxxx
2726;24028;xxxx
2725;24027;xxxx
2704;23366;xxxx
2703;23364;xxxx
2689;23359;xxxx
2688;23235;xxxx
2687;23234;xxxx
2686;23233;xxxx
2701;23121;xxxx
2700;23120;xxxx
2699;23119;xxxx
2698;23118;xxxx
2697;23116;xxxx
2696;23115;xxxx
2695;23114;xxxx
2694;23113;xxxx
2711;23111;xxxx
2710;23110;xxxx
2709;23109;xxxx
2708;23108;xxxx
2707;23106;xxxx
2706;23105;xxxx
2757;23104;xxxx
2762;23103;xxxx
2760;23101;xxxx
2755;23100;xxxx
2705;23099;xxxx
2752;23098;xxxx
2693;23097;xxxx
2692;23096;xxxx
2691;23095;xxxx
2690;23094;xxxx
2947;22460;xxxx
2948;22459;xxxx
