Column 1
flags,long,long,long,
0x0,52084,2,3098,
0xA2,12320,21,0,
0x80,12297,22,0,
0x2,46831,61,0,
0x1,52084,81,0,
0x80,52085,82,0,
0x0,0,101,0,
0x40,46487,121,2681,
0x1,54292,141,3115,
0x0,54810,161,3114,
0x0,54811,162,3113,
0x0,54812,163,3312,
0x0,54813,164,3124,
0x0,54815,165,3129,
0x0,54818,166,3112,
0x0,54821,167,3128,
0x0,54824,168,3123,
0x0,54832,169,3121,
0x0,54733,170,3127,
0x0,54743,171,3098,
0x0,54754,172,3125,
0x0,54825,173,3119,
0x0,54826,174,3120,
0x0,54845,175,3117,
0x0,54830,176,3122,
0x0,54831,177,3118,
0x0,54828,178,3116,
0x0,54756,179,3126,
0x0,54829,180,3110,
0x0,54760,181,3115,
0x1,54912,182,0,
0x0,54922,183,3128,
0x0,54925,184,3121,
0x0,54923,185,3112,
0x0,54924,186,3115,
0x0,54926,187,3117,
0x0,54927,188,3110,
0x0,54928,189,3119,
0x0,54929,190,3118,
0x0,54930,191,3125,
0x0,54931,192,3312,
0x0,54934,193,3122,
0x0,54935,194,3126,
0x0,54936,195,3127,
0x0,54937,196,3129,
0x0,54938,197,3113,
0x0,54939,198,3114,
0x0,54940,199,3124,
0x0,54943,200,3123,
0x0,55436,211,3117,
0x0,55437,212,3118,
0x0,55449,213,3114,
0x0,55454,214,3116,
0x0,55442,215,3124,
0x0,55439,216,3129,
0x0,55455,217,3120,
0x0,55450,218,3113,
0x0,55447,219,3125,
0x0,55451,220,3115,
0x0,55443,221,3122,
0x0,55456,222,3127,
0x0,55440,223,3312,
0x0,55438,224,3112,
0x0,55448,225,3126,
0x0,55453,226,3119,
0x0,55441,227,3121,
0x0,55446,228,3123,
0x0,55444,229,3110,
0x0,55452,230,3098,
0x0,55445,231,3128,
0x0,55675,251,3098,
0x0,55677,252,3112,
0x0,55684,253,3113,
0x0,55678,254,3117,
0x0,55679,255,3115,
0x0,55683,256,3129,
0x0,55686,257,3119,
0x0,55673,258,3312,
0x0,55691,259,3120,
0x0,55688,260,3121,
0x0,55681,261,3128,
0x0,55689,262,3114,
0x0,55672,263,3125,
0x0,55680,264,3123,
0x0,55676,265,3126,
0x0,55674,266,3110,
0x0,55690,267,3118,
0x0,55682,268,3116,
0x0,55687,269,3122,
0x0,55692,270,3127,
0x0,55685,271,3124,
0x0,56242,272,3128,
0x0,56235,273,3121,
0x0,56218,274,3125,
0x0,56241,275,3124,
0x0,56232,276,3098,
0x0,56244,277,3115,
0x0,56246,278,3116,
0x0,56249,279,3114,
0x0,56238,280,3113,
0x0,56224,281,3126,
0x0,56217,282,3123,
0x0,56228,283,3312,
0x0,56248,284,3119,
0x0,56226,285,3127,
0x0,56240,286,3110,
0x0,56229,287,3117,
0x0,56216,288,3118,
0x0,56231,289,3112,
0x0,56250,290,3129,
0x0,56233,291,3120,
0x0,56247,292,3122,
0x0,56360,311,3113,
0x0,56363,312,3115,
0x0,56381,313,3128,
0x0,56365,314,3119,
0x0,56380,315,3110,
0x0,56368,316,3312,
0x0,56369,317,3124,
0x0,56376,318,3125,
0x0,56370,319,3098,
0x0,56384,320,3126,
0x0,56372,321,3112,
0x0,56377,322,3121,
0x0,56374,323,3122,
0x0,56371,324,3127,
0x0,56366,325,3123,
0x0,56383,326,3129,
0x0,56367,327,3117,
0x0,56382,328,3118,
0x0,56375,329,3116,
0x0,56364,330,3120,
0x0,56373,331,3114,
0x0,56824,351,3125,
0x0,56841,352,3126,
0x0,56857,353,3113,
0x0,56833,354,3115,
0x0,56851,355,3119,
0x0,56830,356,3110,
0x0,56850,357,3122,
0x0,56844,358,3127,
0x0,56845,359,3112,
0x0,56847,360,3117,
0x0,56829,361,3129,
0x0,56846,362,3128,
0x0,56856,363,3114,
0x0,56836,364,3118,
0x0,56828,365,3121,
0x0,56832,366,3123,
0x0,56849,367,3124,
0x0,56826,368,3312,
0x0,56842,369,3098,
0x0,56838,370,3116,
0x0,56848,371,3120,
0x0,56808,391,3098,
0x0,56813,392,3128,
0x0,56800,393,3125,
0x0,56818,394,3123,
0x0,56820,395,3114,
0x0,56806,396,3116,
0x0,56799,397,3126,
0x0,56802,398,3113,
0x0,56803,399,3115,
0x0,56804,400,3129,
0x0,56812,401,3119,
0x0,56814,402,3118,
0x0,56809,403,3110,
0x0,56807,404,3124,
0x0,56819,405,3312,
0x0,56801,406,3121,
0x0,56798,407,3122,
0x0,56805,408,3120,
0x0,56821,409,3127,
0x0,56810,410,3112,
0x0,56811,411,3117,
0x1,57856,431,3123,
0x1,57858,432,3119,
0x1,57855,433,3113,
0x1,57857,434,3128,
0x1,57862,435,3110,
0x1,58133,436,3113,
0x1,58132,438,3116,
0x1,57866,439,3119,
0x1,57870,440,3114,
0x1,57903,441,3120,
0x1,57902,442,3120,
0x1,57904,443,3124,
0x1,57900,444,3128,
0x1,57924,445,3129,
0x1,57926,446,3125,
0x1,57927,447,3115,
0x1,57928,448,3112,
0x1,58136,449,3116,
0x1,52648,450,3117,
0x1,57925,451,3121,
0x1,57937,452,3124,
0x1,57958,453,3122,
0x1,57979,454,3123,
0x1,57955,455,3098,
0x1,57947,456,3312,
0x1,57954,457,3110,
0x1,57985,458,3312,
0x1,57987,459,3123,
0x1,58009,460,3118,
0x1,57986,461,3112,
0x1,58015,462,3129,
0x1,58228,463,3119,
0x1,58032,464,3113,
0x1,58027,465,3127,
0x1,58017,466,3115,
0x1,58033,467,3125,
0x1,58039,468,3129,
0x1,58038,469,3116,
0x1,58058,470,3118,
0x1,58135,471,3126,
0x1,58134,472,3126,
0x1,58059,473,3121,
0x1,58055,474,3117,
0x1,58063,475,3098,
0x1,58057,476,3122,
0x1,58079,477,3126,
0x1,58070,478,3127,
0x1,58081,479,3114,
0x1,58080,480,3115,
0x1,58107,481,3126,
0x1,58094,482,3118,
0x1,58095,483,3110,
0x1,58096,484,3124,
0x1,58097,485,3125,
0x1,58099,486,3126,
0x1,58098,487,3122,
0x1,58104,488,3117,
0x0,58368,489,3118,
0x0,58369,490,3114,
0x0,58355,491,3125,
0x0,58366,492,3112,
0x0,58388,493,3124,
0x0,58367,494,3117,
0x0,58372,495,3115,
0x0,58357,496,3126,
0x0,58377,497,3312,
0x0,58365,498,3127,
0x0,58386,499,3110,
0x0,58385,500,3113,
0x0,58364,501,3122,
0x0,58375,502,3121,
0x0,58376,503,3098,
0x0,58387,504,3119,
0x0,58384,505,3129,
0x0,58353,506,3116,
0x0,58356,507,3120,
0x0,58382,508,3123,
0x0,58370,509,3128,
0x0,58613,511,3098,
0x0,58623,512,3120,
0x0,58616,513,3114,
0x1,58640,514,3114,
0x0,58673,515,3125,
0x0,58620,516,3118,
0x1,58677,518,3312,
0x0,62259,519,3126,
0x0,58629,520,3123,
0x0,58647,521,3113,
0x1,58680,522,3116,
0x0,58625,523,3312,
0x0,58631,524,3115,
0x0,58671,525,3124,
0x0,58657,526,3119,
0x0,58686,527,3123,
0x0,58669,528,3116,
0x0,58642,529,3110,
0x0,58618,530,3121,
0x0,58635,531,3122,
0x0,58676,532,3127,
0x1,59219,551,3112,
0x1,59289,552,3098,
0x1,59309,553,3113,
0x1,59307,554,3128,
0x1,60200,555,3127,
0x0,59327,556,3112,
0x0,59332,557,3117,
0x0,59336,558,3128,
0x0,56420,559,3098,
0x0,56414,560,3120,
0x0,56416,561,3116,
0x1,60200,571,3129,
0x0,61205,591,3125,
0x1,62126,611,3129,
0x1,62132,612,3128,
0x1,62135,613,3098,
0x0,62080,631,3098,
0x0,62210,651,3126,
0x0,62969,671,3110,
0x0,62970,672,3112,
0x0,62971,673,3098,
0x0,63055,674,3113,
0x0,63056,675,3114,
0x0,63057,676,3115,
0x0,63065,677,3116,
0x0,63066,691,3117,
0x0,63067,692,3118,
0x0,63068,693,3119,
0x0,63069,694,3120,
0x0,63086,695,3122,
0x0,63090,696,3121,
0x0,63091,697,3123,
0x0,63092,698,3124,
0x0,63093,699,3125,
0x0,63095,700,3126,
0x0,63218,701,3127,
0x0,63219,702,3128,
0x0,63220,703,3312,
0x0,63222,704,3129,
0x0,63223,705,3110,
0x0,63224,706,3112,
0x0,63225,707,3098,
0x0,63229,708,3113,
0x0,63231,709,3114,
0x0,63235,710,3115,
0x0,63237,711,3116,
0x0,63246,712,3117,
0x0,63248,713,3118,
0x0,63249,714,3119,
0x0,63252,715,3120,
0x0,63253,716,3122,
0x0,63254,731,3121,
0x0,63256,732,3123,
0x0,63268,733,3124,
0x0,63269,734,3125,
0x0,63270,735,3126,
0x0,63271,736,3127,
0x0,63273,737,3128,
