str;long;
Felsbeißer 3;1;xxxx
Frostbrand 1;2;xxxx
Flammenzunge 3;3;xxxx
Flammenzunge 2;4;xxxx
Flammenzunge 1;5;xxxx
Felsbeißer 2;6;xxxx
Tödliches Gift;7;xxxx
Tödliches Gift II;8;xxxx
Gift (15 Schaden);9;xxxx
Gift (20 Schaden);10;xxxx
Gift (25 Schaden);11;xxxx
Frostbrand 2;12;xxxx
Geschärft (+3 Schaden);13;xxxx
Geschärft (+4 Schaden);14;xxxx
Verstärkt (+8 Rüstung);15;xxxx
Verstärkt (+16 Rüstung);16;xxxx
Verstärkt (+24 Rüstung);17;xxxx
Verstärkt (+32 Rüstung);18;xxxx
Beschwert (+2 Schaden);19;xxxx
Beschwert (+3 Schaden);20;xxxx
Beschwert (+4 Schaden);21;xxxx
Verkrüppelungsgift;22;xxxx
Gedankenbenebelndes Gift II;23;xxxx
+5 Mana;24;xxxx
Schattenöl;25;xxxx
Frostöl;26;xxxx
Zerrissen;27;xxxx
+4 alle Widerstandsarten;28;xxxx
Felsbeißer 1;29;xxxx
Zielfernrohr (+1 Schaden);30;xxxx
+4 Wildtiertötung;31;xxxx
Zielfernrohr (+2 Schaden);32;xxxx
Zielfernrohr (+3 Schaden);33;xxxx
Gegengewicht (+20 Tempowertung);34;xxxx
Gedankenbenebelndes Gift;35;xxxx
Verzaubern: Feuer;36;xxxx
Stahlwaffenkette;37;xxxx
+5 Verteidigungswertung;38;xxxx
Geschärft (+1 Schaden);39;xxxx
Geschärft (+2 Schaden);40;xxxx
+5 Gesundheit;41;xxxx
Gift (sofort 20);42;xxxx
Eisenstachel (8-12);43;xxxx
Absorption (10);44;xxxx
Absorption (25);63;xxxx
+3 Willenskraft;64;xxxx
+1 alle Widerstandsarten;65;xxxx
+1 Ausdauer;66;xxxx
+1 Schaden;67;xxxx
+1 Stärke;68;xxxx
+2 Stärke;69;xxxx
+3 Stärke;70;xxxx
+1 Ausdauer;71;xxxx
+2 Ausdauer;72;xxxx
+3 Ausdauer;73;xxxx
+1 Beweglichkeit;74;xxxx
+2 Beweglichkeit;75;xxxx
+3 Beweglichkeit;76;xxxx
+2 Schaden;77;xxxx
+3 Schaden;78;xxxx
+1 Intelligenz;79;xxxx
+2 Intelligenz;80;xxxx
+3 Intelligenz;81;xxxx
+1 Willenskraft;82;xxxx
+2 Willenskraft;83;xxxx
+3 Willenskraft;84;xxxx
+3 Rüstung;85;xxxx
+8 Rüstung;86;xxxx
+12 Rüstung;87;xxxx
;88;xxxx
+16 Rüstung;89;xxxx
+4 Beweglichkeit;90;xxxx
+5 Beweglichkeit;91;xxxx
+6 Beweglichkeit;92;xxxx
+7 Beweglichkeit;93;xxxx
+4 Intelligenz;94;xxxx
+5 Intelligenz;95;xxxx
+6 Intelligenz;96;xxxx
+7 Intelligenz;97;xxxx
+4 Willenskraft;98;xxxx
+5 Willenskraft;99;xxxx
+6 Willenskraft;100;xxxx
+7 Willenskraft;101;xxxx
+4 Ausdauer;102;xxxx
+5 Ausdauer;103;xxxx
+6 Ausdauer;104;xxxx
+7 Ausdauer;105;xxxx
+4 Stärke;106;xxxx
+5 Stärke;107;xxxx
