long;str;
1;Felsbeißer 3;xxxx
2;Frostbrand;xxxx
3;Flammenzunge 3;xxxx
4;Flammenzunge 2;xxxx
5;Flammenzunge;xxxx
6;Felsbeißer 2;xxxx
7;Tödliches Gift;xxxx
8;Tödliches Gift II;xxxx
9;Gift (15 Schaden);xxxx
10;Gift (20 Schaden);xxxx
11;Gift (25 Schaden);xxxx
12;Frostbrand 2;xxxx
13;Geschärft (+3 Schaden);xxxx
14;Geschärft (+4 Schaden);xxxx
15;Verstärkt (+8 Rüstung);xxxx
16;Verstärkt (+16 Rüstung);xxxx
17;Verstärkt (+24 Rüstung);xxxx
18;Verstärkt (+32 Rüstung);xxxx
19;Beschwert (+2 Schaden);xxxx
20;Beschwert (+3 Schaden);xxxx
21;Beschwert (+4 Schaden);xxxx
22;Verkrüppelungsgift;xxxx
23;Gedankenbenebelndes Gift II;xxxx
24;+5 Mana;xxxx
25;Schattenöl;xxxx
26;Frostöl;xxxx
27;Zerrissen;xxxx
28;+4 alle Widerstandsarten;xxxx
29;Felsbeißer 1;xxxx
30;Zielfernrohr (+1 Schaden);xxxx
31;+4 Wildtiertötung;xxxx
32;Zielfernrohr (+2 Schaden);xxxx
33;Zielfernrohr (+3 Schaden);xxxx
34;Gegengewicht (+20 Tempowertung);xxxx
35;Gedankenbenebelndes Gift;xxxx
36;Verzaubern: Feuer;xxxx
37;Stahlwaffenkette;xxxx
38;+5 Ausweichwertung;xxxx
39;Geschärft (+1 Schaden);xxxx
40;Geschärft (+2 Schaden);xxxx
41;+5 Gesundheit;xxxx
42;Gift (sofort 20);xxxx
43;Eisenstachel (8-12);xxxx
44;Absorption (10);xxxx
63;Absorption (25);xxxx
64;+3 Willenskraft;xxxx
65;+1 alle Widerstandsarten;xxxx
66;+1 Ausdauer;xxxx
67;+1 Schaden;xxxx
68;+1 Stärke;xxxx
69;+2 Stärke;xxxx
70;+3 Stärke;xxxx
71;+1 Ausdauer;xxxx
72;+2 Ausdauer;xxxx
73;+3 Ausdauer;xxxx
74;+1 Beweglichkeit;xxxx
75;+2 Beweglichkeit;xxxx
76;+3 Beweglichkeit;xxxx
77;+2 Schaden;xxxx
78;+3 Schaden;xxxx
79;+1 Intelligenz;xxxx
80;+2 Intelligenz;xxxx
81;+3 Intelligenz;xxxx
82;+1 Willenskraft;xxxx
83;+2 Willenskraft;xxxx
84;+3 Willenskraft;xxxx
85;+3 Rüstung;xxxx
86;+8 Rüstung;xxxx
87;+12 Rüstung;xxxx
88;;xxxx
89;+16 Rüstung;xxxx
90;+4 Beweglichkeit;xxxx
91;+5 Beweglichkeit;xxxx
92;+6 Beweglichkeit;xxxx
93;+7 Beweglichkeit;xxxx
94;+4 Intelligenz;xxxx
95;+5 Intelligenz;xxxx
96;+6 Intelligenz;xxxx
97;+7 Intelligenz;xxxx
98;+4 Willenskraft;xxxx
99;+5 Willenskraft;xxxx
100;+6 Willenskraft;xxxx
101;+7 Willenskraft;xxxx
102;+4 Ausdauer;xxxx
103;+5 Ausdauer;xxxx
104;+6 Ausdauer;xxxx
105;+7 Ausdauer;xxxx
106;+4 Stärke;xxxx
107;+5 Stärke;xxxx
108;+6 Stärke;xxxx
109;+7 Stärke;xxxx
110;+1 Ausweichwertung;xxxx
111;+2 Ausweichwertung;xxxx
112;+3 Ausweichwertung;xxxx
113;+4 Ausweichwertung;xxxx
114;+5 Ausweichwertung;xxxx
115;+6 Ausweichwertung;xxxx
116;+7 Ausweichwertung;xxxx
117;+4 Schaden;xxxx
118;+5 Schaden;xxxx
119;+6 Schaden;xxxx
120;+7 Schaden;xxxx
121;+20 Rüstung;xxxx
122;+24 Rüstung;xxxx
123;+28 Rüstung;xxxx
124;Totem der Flammenzunge 1;xxxx
125;+1 Schwertfertigkeit;xxxx
126;+2 Schwertfertigkeit;xxxx
127;+3 Schwertfertigkeit;xxxx
128;+4 Schwertfertigkeit;xxxx
129;+5 Schwertfertigkeit;xxxx
130;+6 Schwertfertigkeit;xxxx
131;+7 Schwertfertigkeit;xxxx
